(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (2, 1) (4, 1) (5, 6) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (2, 1) (4, 1) (6, 7) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (2, 1) (5, 0) (5, 6) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (2, 1) (5, 0) (6, 7) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (3, 2) (5, 6) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (3, 2) (6, 7) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (5, 3) (5, 6) (7, 3) (7, 6)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (5, 3) (6, 5) (6, 7) (7, 3)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (5, 6) (6, 2) (6, 4) (7, 6)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (5, 6) (6, 4) (7, 1) (7, 6)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (5, 6) (7, 1) (7, 3) (7, 5)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (5, 6) (7, 1) (7, 3) (7, 6)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (6, 5) (6, 7) (7, 1) (7, 3)
(0, 0) (0, 2) (0, 4) (0, 6) (2, 5) (2, 7) (3, 0) (5, 0) (6, 7) (7, 1) (7, 3) (7, 5)
